Number,Category,Manufacturer,Series,Color,Size,Flat RCCP,Texture RCCP
128,Tile,Bedrosians,Tahoe,Lodge   ,8x40,"540, 541",266
129,Tile,Bedrosians,Tahoe,Summit   ,8x40,"544, 545",268
130,Tile,Bedrosians,Traditions,Ice White   ,6x6,558,278
131,Tile,Bedrosians,Winter 8x24 Honed,Blanco   ,12x24,"597, 598",320
132,Tile,Bedrosians,Winter 8x24 Honed,Gris   ,12x24,"536, 537",264
133,Tile,Bedrosians,Woodmark,Anthracite   ,6x36,not available with the design center,
134,Tile,Bedrosians,Woodmark,Grey   ,6x36,not available with the design center,
135,Tile,Bedrosians,Woodmark,Light Oak  ,6x36,not available with the design center,
136,Tile,Bedrosians,Woodmark,Oak   ,6x36,not available with the design center,
137,Tile,Bedrosians,Woodmark,Walnut   ,6x36,not available with the design center,
138,Tile,Bedrosians,Zebrino,Calacatta Polished  ,12x24,-,-
139,Tile,Bedrosians,Zebrino 2X2 Mosaic,Bluette   ,12x12,440,199
140,Tile,Bedrosians,Zebrino 2X2 Mosaic,Calacatta   ,12x12,441,200
141,Tile,Bedrosians,Zebrino 2X2 Mosaic,Michelangelo   ,12x12,439,198
142,Tile,Bedrosians,Zebrino Chelsea Honed Mosaic,Bluette   ,9x15,563,281
143,Tile,Bedrosians,Zebrino Chelsea Honed Mosaic,Calacatta   ,9x15,562,280
144,Tile,Bedrosians,Zebrino Chelsea Honed Mosaic,Michelangelo   ,9x15,561,279
145,Tile,Bedrosians,Zenith Gloss,Tide   ,2.5x9,549,271
146,Tile,Bedrosians,Zenith Matte,Moon   ,2.5x9,548,270
147,Tile,Bedrosians,Zenith Matte,Orion   ,2.5x9,552,274
148,Tile,Bedrosians,Zenith Matte,Solar   ,2.5x9,550,272
149,Tile,Bedrosians,Zenith Matte,Umbra   ,2.5x9,551,273
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,46,
